Krankenanstalten in Wien 2019;;;;;;
Krankenanstalt
(Gemeindebezirk);Systematisierte
GemeinnÃƒÂ¼tzige Krankenanstalten in sonstiger Verwaltung;;;;;;
Insgesamt;4204;3940;1743;5453;221682;5,36663779648325
Anton Proksch Institut (23.);223;242;24;60;1789;43,377864728898
Rehaklinik Wien Baumgarten (14.);222;222;18;90;3389;23,895249336087
Evangelisches Krankenhaus Wien (18.);268;226;100;272;14837;3,727168565073
Franziskus Spital (3., 5.) ******;240;236;99;341;17744;4,187274571686
Hanusch-Krankenhaus (14.);447;358;321;843;43453;2,344579200515
Haus der Barmherzigkeit SeebÃƒÂ¶ckgasse (16.) *****;350;350;14;290;318;395,955974842767
Haus der Barmherzigkeit TokiostraÃƒÅ¸e (22.) *****;270;270;12;221;229;422,401746724891
Herz-Jesu Krankenhaus (3.);169;147;111;278;14569;3,228773423021
Krankenhaus der Barmherzigen BrÃƒÂ¼der (2.);407;381;222;571;32336;3,003247154873
Krankenhaus der Barmherzigen Schwestern (6.);221;204;126;284;15634;3,703338876806
Krankenhaus GÃƒÂ¶ttlicher Heiland (17.);268;268;150;362;12685;6,908947575877
Neurologisches Rehabilitationszentrum RosenhÃƒÂ¼gel (13.);147;147;16;106;1817;29,214089157952
OrthopÃƒÂ¤disches Spital Speising (13.);280;256;168;433;18655;3,861109622085
AUVA-Rehabilitationszentrum Meidling (12.);52;52;12;84;350;48,034285714285
St. Anna Kinderspital (9.);122;119;77;249;11684;1,817699418007
St. Josef Krankenhaus (13.);216;172;126;339;17790;2,670713884204
AUVA-Traumazentrum Wien (12., 20.) ******;302;290;147;630;14403;5,31951676734
Nicht gemeinnÃƒÂ¼tzige Krankenanstalten;;;;;;
Insgesamt;1101;1014;284;1343;58469;3,76606406813867
Goldenes Kreuz Privatklinik (9.);131;94;23;122;6316;2,913869537682
Heeresspital Wien (21.);27;25;38;55;426;3,434272300469
Kuzbari Zentrum fÃƒÂ¼r Ãƒâ€žsthetische Medizin (1.);9;9;6;20;773;0,732212160413
Privatklinik ConfraternitÃƒÂ¤t (8.);96;96;16;117;7782;2,361989205859
Privatklinik DÃƒÂ¶bling (19.);160;160;34;252;15682;2,89746205841
Privatklinik WÃƒÂ¤hring (18.);20;20;4;20;2465;0,518864097363
Rudolfinerhaus Privatklinik (19.);155;150;28;245;9596;3,416527719883
Sanatorium Hera (9.);165;102;105;259;6024;3,583333333333
Sanatorium Liebhartstal (16.) (5);137;137;2;45;320;100,053125
Sonderkrankenanstalt der Justizanstalt Wien-Josefstadt (8.);56;76;13;27;677;28,992614475627
Wiener Privatklinik (9.);145;145;15;181;8408;3,407588011417
Quelle: Bundesministerium fÃƒÂ¼r Arbeit, Soziales, Gesundheit und Konsumentenschutz.;;;;;;
Anmerkungen: Als Krankenanstalt der Stadt Wien gilt weiters das Therapiezentrum Ybbs - Psychiatrisches Krankenhaus, welches jedoch in dieser Tabelle nicht angefÃƒÂ¼hrt wird, da es sich nicht in Wien befindet.;;;;;;
AbkÃƒÂ¼rzungen: KH = Krankenhaus; SMZ = Sozialmedizinisches Zentrum; WGV = Wiener Gesundheitsverbund.
* Gesamtsumme fÃƒÂ¼r Wien ergibt sich aus Tabelle 6.1.2 und 6.1.3
** Die WGV Klinik Favoriten (10.) - ehem. Kaiser-Franz-Josef-Spital - hat mit der SchlieÃƒÅ¸ung des Gottfried von Preyer'schen Kinderspitals (10.) 2016 dessen Leistungen ÃƒÂ¼bernommen.
*** Otto-Wagner-Spital und Pflegezentrum (2.).
**** Die WGV Klinik Floridsdorf (21.) - ehem. KH Nord - hat mit ihrer ErÃƒÂ¶ffnung im Jahr 2019 die Leistungen der gleichzeitig geschlossenen Anstalten KH Floridsdorf (21.) und OrthopÃƒÂ¤disches Krankenhaus Gersthof (17., 18.) ÃƒÂ¼bernommen. ZusÃƒÂ¤tzlich ist die Semmelweis-Frauenklinik (18.) im Jahr 2019 aus dem WGV Klinik LandstraÃƒÅ¸e (3.) - ehem. Krankenanstalt Rudolfsstiftung - ins WGV Klinik Floridsdorf ÃƒÂ¼bersiedelt.
***** Die angefÃƒÂ¼hrten HÃƒÂ¤user haben zwar den Charakter von Pflegeheimen, sind aber gemÃƒÂ¤ÃƒÅ¸ dem Krankenanstalten- und Kuranstaltengesetz des Bundes als Krankenanstalten gemeldet und werden daher auch in dieser Tabelle angefÃƒÂ¼hrt.
****** Seit 2017 sind das Krankenhaus St. Elisabeth (3.) und das Hartmannspital (5.) zum Franziskus Spital fusioniert. Sie bilden nun unter den Bezeichnungen Franziskus Spital LandstraÃƒÅ¸e (3.) und Franziskus Spital Margareten (5.) die beiden Standorte des Franziskus Spitals.
*******  Seit 2018 bilden die UnfallkrankenhÃƒÂ¤user Lorenz BÃƒÂ¶hler (20.) und Meidling (12.) die zwei Standorte des AUVA-Traumazentrums Wien.;;;;;;
